Sexs,Age,State,ParticipationRate,Lon,Lat,,Age group,Met (%),Did not meet (%),,Sports,Males_ParticipationRate,Females_ParticipationRate,Persons_ParticipationRate,Persons_Estimate,,,Year,Sex,Category,Percent,,,,Year,Males_Number,Females_Number,Persons_Number,Males_Percent,Females_Percent,Persons_Percent
Male,15-17 years,New South Wales,77.2,147,-32,,15 to 17,11.1,88.9,,Aerobics,0.1,0.9,0.5,99.6,,,2007-08,Men,Met,33.4,,,,2000,239441,220735,460180,2.6,2.3,2.4
Male,15-17 years,Victoria,69.4,145,-37,,18 to 24,36.9,63.1,,Aqua aerobics,0.1,0.8,0.5,90.8,,,2007-08,Men,Did not meet,66.6,,,,2001,267284,244968,512256,2.9,2.5,2.7
Male,15-17 years,Queensland,59,143,-21,,25 to 34,30.7,69.3,,"Athletics, track and field",0.7,0.5,0.6,103.4,,,2007-08,Women,Met,29.7,,,,2002,297170,271721,568895,3.1,2.7,2.9
Male,15-17 years,South Australia,46.6,138,-30,,35 to 44,24.1,75.9,,Australian Rules football,2.3,0.1,1.2,224,,,2007-08,Women,Did not meet,70.3,,,,2003,327144,298735,625884,3.4,2.9,3.1
Male,15-17 years,Western Australia,71.6,122,-25,,45 to 54,19.4,80.6,,Badminton,0.7,0.5,0.5,97.8,,,2011-12,Men,Met,34.9,,,,2004,355665,323485,679155,3.6,3.1,3.3
Male,15-17 years,Tasmania,73.4,147,-42,,55 to 64,15.6,84.4,,Basketball (indoor & outdoor),3.1,1.3,2.2,406.1,,,2011-12,Men,Did not meet,65.1,,,,2005,383505,347283,730794,3.8,3.2,3.5
Male,15-17 years,Northern Territory,98,133,-19,,65+,12.1,87.9,,Boxing,0.7,0.4,0.5,99.8,,,2011-12,Women,Met,32,,,,2006,408012,367597,775617,4,3.3,3.6
Male,15-17 years,Australian Capital Territory,86.6,149,-35,,,,,,Bush walking,1.4,1.7,1.5,285.6,,,2011-12,Women,Did not meet,68,,,,2007,437191,390914,828113,4.1,3.4,3.8
Male,15-17 years,Australia,72.8,134,-28,,,,,,Canoeing / Kayaking / Dragon boat racing,0.8,0.5,0.7,129.7,,,2014-15,Men,Met,34.6,,,,2008,470583,417239,887831,4.3,3.6,4
Male,18-24 years,New South Wales,77.2,147,-32,,,,,,Cross country running,0.3,0.4,0.4,70.6,,,2014-15,Men,Did not meet,65.4,,,,2009,500118,441054,941181,4.5,3.7,4.1
Male,18-24 years,Victoria,65.1,145,-37,,,,,,Cycling / BMXing,8.5,4,6.2,1151.9,,,2014-15,Women,Met,33.4,,,,2010,528472,462575,991057,4.6,3.8,4.2
Male,18-24 years,Queensland,56.5,143,-21,,,,,,Dancing / Ballet,0.3,2.2,1.3,237.2,,,2014-15,Women,Did not meet,66.6,,,,2011,554946,483674,1038632,4.8,3.9,4.3
Male,18-24 years,South Australia,70.2,138,-30,,,,,,Fishing,1.9,0.1,1,177.1,,,2017-18,Men,Met,35.2,,,,2012,579536,502176,1081725,4.8,3.9,4.4
Male,18-24 years,Western Australia,67.6,122,-25,,,,,,Fitness / Gym,15.9,18.9,17.4,3214,,,2017-18,Men,Did not meet,64.8,,,,2013,602550,519014,1121579,4.9,4,4.4
Male,18-24 years,Tasmania,71.4,147,-42,,,,,,"Football sports (excluding rugby, soccer, Australian Rules football)",1.8,1.3,1.6,297.7,,,2017-18,Women,Met,35.8,,,,2014,622354,533843,1156215,5,4,4.5
